X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"213829",2023/03/15 22:25:00,2023/03/16 02:36:00+00,"21",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Lena,sentinel,0,0,0,0,99.9999999995238,0,0,0,0,0,"0",2023/03/20 09:15:29.063,EU,EU
,,"213839",2023/03/13 12:27:00,2023/03/13 12:27:00+00,"10",ES,ESP,España,Noroeste,Cantabria,Cantabria,Villacarriedo,sentinel,0,0,0,0,99.999999999,0,0,0,0,0,"0",2023/03/20 09:24:30.517,EU,EU
,,"216003",2023/03/23 00:00:00,2023/03/23 00:00:00+00,"8",ES,ESP,España,Noroeste,Cantabria,Cantabria,Luena,sentinel,16.6666666663889,0,0,0,83.3333333319444,0,0,0,0,100,"0",2023/04/26 06:37:22.655,EU,EU
,,"216004",2023/04/20 00:00:00,2023/04/20 00:00:00+00,"21",ES,ESP,España,Noroeste,Cantabria,Cantabria,Rionansa,sentinel,4.76190476188209,0,0,0,95.2380952376417,0,0,0,0,0,"0",2023/04/26 06:39:24.803,EU,EU
,,"213832",2023/03/16 01:47:00,2023/03/16 03:28:00+00,"3",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Piloña,sentinel,49.9999999975,0,0,0,49.9999999975,0,0,0,0,0,"0",2023/03/20 09:15:29.063,EU,EU
,,"213840",2023/03/09 13:22:00,2023/03/17 11:02:00+00,"4",ES,ESP,España,Noroeste,Cantabria,Cantabria,Villafufre,sentinel,0,0,0,0,99.9999999975,0,0,0,0,0,"0",2023/03/20 09:24:30.517,EU,EU
,,"216006",2023/04/20 00:00:00,2023/04/20 00:00:00+00,"14",ES,ESP,España,Noroeste,Cantabria,Cantabria,Rionansa,sentinel,0,0,0,0,99.9999999992857,0,0,0,0,0.0393347480614023,"0",2023/04/26 06:40:21.527,EU,EU
,,"216008",2023/04/07 10:38:00,2023/04/07 12:59:00+00,"20",ES,ESP,España,Noroeste,Cantabria,Cantabria,Valdáliga,sentinel,4.999999999975,0,0,0,0,84.999999999575,9.99999999995,0,0,0,"0",2023/04/26 06:41:38.645,EU,EU
,,"216009",2023/04/10 13:44:00,2023/04/10 13:44:00+00,"15",ES,ESP,España,Noroeste,Cantabria,Cantabria,Rionansa,sentinel,0,0,0,0,57.142857142449,0,42.8571428568367,0,0,0,"0",2023/04/26 06:42:20.181,EU,EU
,,"215613",2023/04/09 01:45:00,2023/04/09 13:55:00+00,"118",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,80.833333333266,0,19.1666666666507,0,0,2.87524742082897,"0",2023/04/20 08:07:11.780,EU,EU
,,"213841",2023/03/10 10:24:23.594,2023/03/10 10:24:23.594+00,"31",ES,ESP,España,Noroeste,Cantabria,Cantabria,Santa María de Cayón,sentinel,0,0,0,0,99.9999999996667,0,0,0,0,0,"0",2023/03/20 09:24:30.517,EU,EU
,,"213842",2023/03/17 13:42:00,2023/03/17 13:42:00+00,"2",ES,ESP,España,Noroeste,Cantabria,Cantabria,Miera,sentinel,0,0,0,0,99.999999995,0,0,0,0,0,"0",2023/03/20 09:25:20.257,EU,EU
,,"213843",2023/03/10 10:25:13.192,2023/03/10 10:25:13.192+00,"7",ES,ESP,España,Noroeste,Cantabria,Cantabria,Liérganes,sentinel,0,0,0,0,99.999999998,0,0,0,0,0,"0",2023/03/20 09:25:20.257,EU,EU
,,"213844",2023/03/16 01:47:00,2023/03/16 01:47:00+00,"3",ES,ESP,España,Noroeste,Cantabria,Cantabria,Luena,sentinel,0,0,0,0,49.9999999975,0,49.9999999975,0,0,100,"0",2023/03/20 09:28:15.788,EU,EU
,,"213786",2023/03/17 01:30:00,2023/03/17 02:17:00+00,"103",ES,ESP,España,Noroeste,Cantabria,Cantabria,Cabuérniga,sentinel,8.91089108910009,0,0,0,91.0891089108009,0,0,0,0,100,"0",2023/03/20 09:20:21.911,EU,EU
,,"213835",2023/03/17 02:17:00,2023/03/17 13:42:00+00,"9",ES,ESP,España,Noroeste,Cantabria,Cantabria,Arenas de Iguña,sentinel,19.9999999998,0,0,0,79.9999999992,0,0,0,0,100,"0",2023/03/20 09:24:30.517,EU,EU
,,"213836",2023/03/17 02:17:00,2023/03/17 13:42:00+00,"13",ES,ESP,España,Noroeste,Cantabria,Cantabria,Arenas de Iguña,sentinel,71.4285714280612,0,0,0,28.5714285712245,0,0,0,0,100,"0",2023/03/20 09:24:30.517,EU,EU
